2021-12-01 12:24:31 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:31 status installed libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:35 startup archives unpack
2021-12-01 12:24:35 upgrade nvidia-compute-utils-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:35 status half-configured nvidia-compute-utils-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:35 status unpacked nvidia-compute-utils-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:35 status half-installed nvidia-compute-utils-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:35 status triggers-pending man-db:amd64 2.9.1-1
2021-12-01 12:24:35 status unpacked nvidia-compute-utils-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:35 startup packages configure
2021-12-01 12:24:35 configure nvidia-compute-utils-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:24:35 status unpacked nvidia-compute-utils-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:35 status half-configured nvidia-compute-utils-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:35 status installed nvidia-compute-utils-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:35 trigproc man-db:amd64 2.9.1-1 <none>
2021-12-01 12:24:35 status half-configured man-db:amd64 2.9.1-1
2021-12-01 12:24:36 status installed man-db:amd64 2.9.1-1
2021-12-01 12:24:40 startup archives unpack
2021-12-01 12:24:40 upgrade nvidia-utils-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:40 status half-configured nvidia-utils-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:40 status unpacked nvidia-utils-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:40 status half-installed nvidia-utils-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:40 status triggers-pending man-db:amd64 2.9.1-1
2021-12-01 12:24:40 status unpacked nvidia-utils-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:40 startup packages configure
2021-12-01 12:24:40 configure nvidia-utils-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:24:40 status unpacked nvidia-utils-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:40 status half-configured nvidia-utils-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:40 status installed nvidia-utils-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:40 trigproc man-db:amd64 2.9.1-1 <none>
2021-12-01 12:24:40 status half-configured man-db:amd64 2.9.1-1
2021-12-01 12:24:41 status installed man-db:amd64 2.9.1-1
2021-12-01 12:24:45 startup archives unpack
2021-12-01 12:24:45 upgrade libnvidia-ifr1-470:amd64 470.82.00-0ubuntu0.20.04.1 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:45 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:45 status half-configured libnvidia-ifr1-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:45 status unpacked libnvidia-ifr1-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:45 status half-installed libnvidia-ifr1-470:amd64 470.82.00-0ubuntu0.20.04.1
2021-12-01 12:24:45 status unpacked libnvidia-ifr1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:45 startup packages configure
2021-12-01 12:24:45 configure libnvidia-ifr1-470:amd64 470.86-0ubuntu0.20.04.1 <none>
2021-12-01 12:24:45 status unpacked libnvidia-ifr1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:45 status half-configured libnvidia-ifr1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:45 status installed libnvidia-ifr1-470:amd64 470.86-0ubuntu0.20.04.1
2021-12-01 12:24:45 trigproc libc-bin:amd64 2.31-0ubuntu9.2 <none>
2021-12-01 12:24:45 status half-configured libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 12:24:45 status installed libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 15:21:43 startup archives unpack
2021-12-01 15:21:43 install libqt5x11extras5:amd64 <none> 5.12.8-0ubuntu1
2021-12-01 15:21:43 status triggers-pending libc-bin:amd64 2.31-0ubuntu9.2
2021-12-01 15:21:43 status half-installed libqt5x11extras5:amd64 5.12.8-0ubuntu1
2021-12-01 15:21:43 status unpacked libqt5x11extras5:amd64 5.12.8-0ubuntu1
2021-12-01 15:21:43 install simplescreenrecorder:amd64 <none> 0.3.11-1build2
2021-12-01 15:21:43 status half-installed simplescreenrecorder:amd64 0.3.11-1build2
2021-12-01 15:21:43 status triggers-pending gnome-menus:amd64 3.36.0-1ubuntu1
2021-12-01 15:21:43 status triggers-pending desktop-file-utils:amd64 0.24-1ubuntu3
2021-12-01 15:21:43 status triggers-pending mime-support:all 3.64ubuntu1
2021-12-01 15:21:43 status triggers-pending hicolor-icon-theme:all 0.17-2
2021-12-01 15:21:43 status triggers-pending man-db:amd64 2.9.1-1
2021-12-01 15:21:43 status unpacked simplescreenrecorder:amd64 0.3.11-1build2
2021-12-01 15:21:43 startup packages configure
2021-12-01 15:21:43 configure libqt5x11extras5:amd64 5.12.8-0ubuntu1 <none>
2021-12-01 15:21:43 status unpacked libqt5x11extras5:amd64 5.12.8-0ubuntu1
2021-12-01 15:21:43 status half-configured libqt5x11extras5:amd64 5.12.8-0ubuntu1
2021-12-01 15:21:43 status installed libqt5x11extras5:amd64 5.12.8-0ubuntu1
2021-12-01 15:21:43 configure simplescreenrecorder:amd64 0.3.11-1build2 <none>
